omega_m,lane,quantum_model,amplitude,stable,refinement_l2,max_correction_ratio,turning_points,blowup_near_turning,final_a,passes_refinement_gate,passes_ratio_gate
0.311,bohmian_q,unified_dmde_proxy,5.980320138249203e-07,True,1.800105185421469e-05,2.104398572187975e-06,2,False,1e-06,False,True
0.311,alpha_qg,n/a,7.106000404519682e-07,True,0.0016601134241167974,3.820864407893197,2,False,0.2936253541883486,False,False
0.311,bohmian_q,off,7.106000404519682e-07,True,1.2233439830117098e-05,0.0,2,False,1e-06,False,True
0.311,bohmian_q,gaussian,7.106000404519682e-07,True,1.8439271411961693e-05,2.4195599103239123e-06,2,False,1e-06,False,True
0.311,bohmian_q,plateau,7.106000404519682e-07,True,1.949577204388156e-05,2.536470004129161e-06,2,False,1e-06,False,True
0.311,bohmian_q,unified_dmde_proxy,7.106000404519682e-07,True,1.91685858160934e-05,2.500506546021969e-06,2,False,1e-06,False,True
0.311,alpha_qg,n/a,8.443568334423105e-07,True,0.000996931220659103,3.8714559185436626,2,False,0.2924703101333237,False,False
0.311,bohmian_q,off,8.443568334423105e-07,True,1.2233439830117098e-05,0.0,2,False,1e-06,False,True
0.311,bohmian_q,gaussian,8.443568334423105e-07,True,1.9701118664971986e-05,2.8749896495798136e-06,2,False,1e-06,False,True
0.311,bohmian_q,plateau,8.443568334423105e-07,True,2.0988125524808853e-05,3.0139049668881e-06,2,False,1e-06,False,True
0.311,bohmian_q,unified_dmde_proxy,8.443568334423105e-07,True,2.0589077878510456e-05,2.9711723381567264e-06,2,False,1e-06,False,True
0.311,alpha_qg,n/a,1.0032907706102438e-06,True,0.0005873456584230338,3.8069263666355746,2,False,0.29035585234121386,False,False
0.311,bohmian_q,off,1.0032907706102438e-06,True,1.2233439830117098e-05,0.0,2,False,1e-06,False,True
0.311,bohmian_q,gaussian,1.0032907706102438e-06,True,2.123879347804939e-05,3.4161428549233227e-06,2,False,1e-06,False,True
0.311,bohmian_q,plateau,1.0032907706102438e-06,True,2.2813801150059914e-05,3.581205104364908e-06,2,False,1e-06,False,True
0.311,bohmian_q,unified_dmde_proxy,1.0032907706102438e-06,True,2.2324719560745137e-05,3.5304292454009865e-06,2,False,1e-06,False,True
0.311,alpha_qg,n/a,1.1921409651983008e-06,True,0.0003419281567159452,3.8500591416646444,2,False,0.2873053222792275,False,False
0.311,bohmian_q,off,1.1921409651983008e-06,True,1.2233439830117098e-05,0.0,2,False,1e-06,False,True
0.311,bohmian_q,gaussian,1.1921409651983008e-06,True,2.312136924479107e-05,4.0591543217795e-06,2,False,1e-06,False,True
0.311,bohmian_q,plateau,1.1921409651983008e-06,True,2.5060156402662188e-05,4.2552846642024205e-06,2,False,1e-06,False,True
0.311,bohmian_q,unified_dmde_proxy,1.1921409651983008e-06,True,2.4456935813021456e-05,4.194951742077548e-06,2,False,1e-06,False,True
0.311,alpha_qg,n/a,1.4165385773852007e-06,True,0.00019604615750819807,3.8350748090099254,2,False,0.28325579183374766,False,False
0.311,bohmian_q,off,1.4165385773852007e-06,True,1.2233439830117098e-05,0.0,2,False,1e-06,False,True
0.311,bohmian_q,gaussian,1.4165385773852007e-06,True,2.5440058022103168e-05,4.8231954992322206e-06,2,False,1e-06,False,True
0.311,bohmian_q,plateau,1.4165385773852007e-06,False,2.7845078854451027e-05,5.05624120496382e-06,2,False,1e-06,False,True
0.311,bohmian_q,unified_dmde_proxy,1.4165385773852007e-06,False,2.7094855022003267e-05,4.984552498793737e-06,2,False,1e-06,False,True
0.311,alpha_qg,n/a,1.6831747249677917e-06,True,0.00011034660558482524,3.8256006930453883,2,False,0.27803910235020046,False,False
0.311,bohmian_q,off,1.6831747249677917e-06,True,1.2233439830117098e-05,0.0,2,False,1e-06,False,True
0.311,bohmian_q,gaussian,1.6831747249677917e-06,False,2.8318490219132393e-05,5.731045912277401e-06,2,False,1e-06,False,True
0.311,bohmian_q,plateau,1.6831747249677917e-06,False,3.1333002813886866e-05,6.007954599236645e-06,2,False,1e-06,False,True
0.311,bohmian_q,unified_dmde_proxy,1.6831747249677917e-06,False,3.038931447141944e-05,5.922772901028576e-06,2,False,1e-06,False,True
0.311,alpha_qg,n/a,2e-06,True,6.076284146780794e-05,3.8308807380273264,2,False,0.2713706899158247,False,False
0.311,bohmian_q,off,2e-06,True,1.2233439830117098e-05,0.0,2,False,1e-06,False,True
0.311,bohmian_q,gaussian,2e-06,False,3.193011587102266e-05,6.80977207355696e-06,2,False,1e-06,False,True
0.311,bohmian_q,plateau,2e-06,False,3.576360410143134e-05,7.138798707671896e-06,2,False,1e-06,False,True
0.311,bohmian_q,unified_dmde_proxy,2e-06,False,3.4557514405524675e-05,7.0375846446732065e-06,2,False,1e-06,False,True
0.3115,alpha_qg,n/a,3e-07,True,0.02012256712047544,3.886996498272136,2,False,0.28149596170305846,False,False
0.3115,bohmian_q,off,3e-07,True,4.836527890057195e-05,0.0,2,False,1e-06,False,True
0.3115,bohmian_q,gaussian,3e-07,True,4.680468144235541e-05,1.004489786330272e-06,2,False,1e-06,False,True
0.3115,bohmian_q,plateau,3e-07,True,4.655639659237515e-05,1.0540032860458112e-06,2,False,1e-06,False,True
0.3115,bohmian_q,unified_dmde_proxy,3e-07,True,4.6632898434419624e-05,1.038755181048191e-06,2,False,1e-06,False,True
0.3115,alpha_qg,n/a,3.5646923109036204e-07,True,0.015584402970995486,3.8651423171115895,2,False,0.28861183352051234,False,False
0.3115,bohmian_q,off,3.5646923109036204e-07,True,4.836527890057195e-05,0.0,2,False,1e-06,False,True
0.3115,bohmian_q,gaussian,3.5646923109036204e-07,True,4.650922552726368e-05,1.1935646919887393e-06,2,False,1e-06,False,True
0.3115,bohmian_q,plateau,3.5646923109036204e-07,True,4.621362832677993e-05,1.2523980148508358e-06,2,False,1e-06,False,True
0.3115,bohmian_q,unified_dmde_proxy,3.5646923109036204e-07,True,4.630471682462387e-05,1.234279790066893e-06,2,False,1e-06,False,True
0.3115,alpha_qg,n/a,4.2356770904717955e-07,True,0.008566172081054958,3.7878171996578804,2,False,0.29937654707430655,False,False
0.3115,bohmian_q,off,4.2356770904717955e-07,True,4.836527890057195e-05,0.0,2,False,1e-06,False,True
0.3115,bohmian_q,gaussian,4.2356770904717955e-07,True,4.615745937911152e-05,1.4182289088920029e-06,2,False,1e-06,False,True
0.3115,bohmian_q,plateau,4.2356770904717955e-07,True,4.580541020579664e-05,1.488136274296097e-06,2,False,1e-06,False,True
0.3115,bohmian_q,unified_dmde_proxy,4.2356770904717955e-07,True,4.591390651010318e-05,1.4666077024809782e-06,2,False,1e-06,False,True
0.3115,alpha_qg,n/a,5.032961851958474e-07,True,0.005740386213654374,3.8243320878205016,2,False,0.30300933917702655,False,False
